time,obj_id,x,y,collision
1.984,1,0,-1215.7,0
2,0,4,-1229.8,0
2,1,0,-1235.3,0
2.016,0,4.032,-1249.56,0
2.016,1,0,-1255.06,0
2.032,0,4.064,-1269.47,0
2.032,1,0,-1274.97,0
2.048,0,4.096,-1289.54,0
2.048,1,0,-1295.04,0
2.064,0,4.128,-1309.77,0
2.064,1,0,-1315.27,0
2.08,0,4.16,-1330.15,0
2.08,1,0,-1335.65,0
2.096,0,4.192,-1350.69,0
2.096,1,0,-1356.19,0
2.112,0,4.224,-1371.39,0
2.112,1,0,-1376.89,0
2.128,0,4.256,-1392.24,0
2.128,1,0,-1397.74,0
2.144,0,4.288,-1413.26,0
2.144,1,0,-1418.76,0
2.16,0,4.32,-1434.42,0
2.16,1,0,-1439.92,0
2.176,0,4.352,-1455.75,0
2.176,1,0,-1461.25,0
2.192,0,4.384,-1477.23,0
2.192,1,0,-1482.73,0
2.208,0,4.416,-1498.87,0
2.208,1,0,-1504.37,0
2.224,0,4.448,-1520.66,0
2.224,1,0,-1526.16,0
2.24,0,4.48,-1542.62,0
2.24,1,0,-1548.12,0
2.256,0,4.512,-1564.72,0
2.256,1,0,-1570.22,0
2.272,0,4.544,-1586.99,0
2.272,1,0,-1592.49,0
2.288,0,4.576,-1609.41,0
2.288,1,0,-1614.91,0
2.304,0,4.608,-1631.99,0
2.304,1,0,-1637.49,0
2.32,0,4.64,-1654.73,0
2.32,1,0,-1660.23,0
2.336,0,4.672,-1677.62,0
2.336,1,0,-1683.12,0
2.352,0,4.704,-1700.67,0
2.352,1,0,-1706.17,0
2.368,0,4.736,-1723.88,0
2.368,1,0,-1729.38,0
2.384,0,4.768,-1747.24,0
2.384,1,0,-1752.74,0
2.4,0,4.8,-1770.76,0
2.4,1,0,-1776.26,0
2.416,0,4.832,-1794.44,0
2.416,1,0,-1799.94,0
2.432,0,4.864,-1818.27,0
2.432,1,0,-1823.77,0
2.448,0,4.896,-1842.26,0
2.448,1,0,-1847.76,0
2.464,0,4.928,-1866.41,0
2.464,1,0,-1871.91,0
2.48,0,4.96,-1890.71,0
2.48,1,0,-1896.21,0
2.496,0,4.992,-1915.17,0
2.496,1,0,-1920.67,0
2.512,0,5.024,-1939.79,0
2.512,1,0,-1945.29,0
2.528,0,5.056,-1964.56,0
2.528,1,0,-1970.06,0
2.544,0,5.088,-1989.5,0
2.544,1,0,-1995,0
2.56,0,5.12,-2014.58,0
2.56,1,0,-2020.08,0
2.576,0,5.152,-2039.83,0
2.576,1,0,-2045.33,0
2.592,0,5.184,-2065.23,0
2.592,1,0,-2070.73,0
2.608,0,5.216,-2090.79,0
2.608,1,0,-2096.29,0
2.624,0,5.248,-2116.5,0
2.624,1,0,-2122,0
2.64,0,5.28,-2142.38,0
2.64,1,0,-2147.88,0
2.656,0,5.31201,-2168.41,0
2.656,1,0,-2173.91,0
2.672,0,5.34401,-2194.59,0
2.672,1,0,-2200.09,0
2.688,0,5.37601,-2220.93,0
2.688,1,0,-2226.43,0
2.704,0,5.40801,-2247.43,0
2.704,1,0,-2252.93,0
2.72,0,5.44001,-2274.09,0
2.72,1,0,-2279.59,0
2.736,0,5.47201,-2300.9,0
2.736,1,0,-2306.4,0
2.752,0,5.50401,-2327.87,0
2.752,1,0,-2333.37,0
2.768,0,5.53601,-2355,0
2.768,1,0,-2360.5,0
2.784,0,5.56801,-2382.28,0
2.784,1,0,-2387.78,0
2.8,0,5.60001,-2409.72,0
2.8,1,0,-2415.22,0
2.816,0,5.63201,-2437.32,0
2.816,1,0,-2442.82,0
2.832,0,5.66401,-2465.07,0
2.832,1,0,-2470.57,0
2.848,0,5.69601,-2492.98,0
2.848,1,0,-2498.48,0
2.864,0,5.72801,-2521.05,0
2.864,1,0,-2526.55,0
2.88,0,5.76001,-2549.27,0
2.88,1,0,-2554.77,0
2.896,0,5.79201,-2577.65,0
2.896,1,0,-2583.15,0
2.912,0,5.82401,-2606.19,0
2.912,1,0,-2611.69,0
2.928,0,5.85601,-2634.89,0
2.928,1,0,-2640.39,0
2.944,0,5.88801,-2663.74,0
2.944,1,0,-2669.24,0
2.96,0,5.92001,-2692.74,0
2.96,1,0,-2698.25,0
2.976,0,5.95201,-2721.91,0
2.976,1,0,-2727.41,0
2.992,0,5.98401,-2751.23,0
2.992,1,0,-2756.73,0
3.008,0,6.01601,-2780.71,0
3.008,1,0,-2786.21,0
3.024,0,6.04801,-2810.34,0
3.024,1,0,-2815.85,0
3.04,0,6.08001,-2840.14,0
3.04,1,0,-2845.64,0
3.056,0,6.11201,-2870.09,0
3.056,1,0,-2875.59,0
3.072,0,6.14401,-2900.19,0
3.072,1,0,-2905.69,0
3.088,0,6.17601,-2930.45,0
3.088,1,0,-2935.95,0
3.104,0,6.20801,-2960.87,0
3.104,1,0,-2966.37,0
3.12,0,6.24001,-2991.45,0
3.12,1,0,-2996.95,0
3.136,0,6.27201,-3022.18,0
3.136,1,0,-3027.68,0
3.152,0,6.30401,-3053.07,0
3.152,1,0,-3058.57,0
3.168,0,6.33601,-3084.12,0
3.168,1,0,-3089.62,0
3.184,0,6.36801,-3115.32,0
3.184,1,0,-3120.82,0
3.2,0,6.40001,-3146.68,0
3.2,1,0,-3152.18,0
3.216,0,6.43201,-3178.2,0
3.216,1,0,-3183.7,0
3.232,0,6.46401,-3209.87,0
3.232,1,0,-3215.37,0
3.248,0,6.49601,-3241.7,0
3.248,1,0,-3247.2,0
3.264,0,6.52801,-3273.69,0
3.264,1,0,-3279.19,0
3.28,0,6.56001,-3305.83,0
3.28,1,0,-3311.33,0
3.296,0,6.59201,-3338.14,0
3.296,1,0,-3343.64,0
3.312,0,6.62401,-3370.59,0
3.312,1,0,-3376.09,0
3.328,0,6.65601,-3403.21,0
3.328,1,0,-3408.71,0
3.344,0,6.68801,-3435.98,0
3.344,1,0,-3441.48,0
3.36,0,6.72001,-3468.91,0
3.36,1,0,-3474.41,0
3.376,0,6.75201,-3501.99,0
3.376,1,0,-3507.49,0
3.392,0,6.78401,-3535.23,0
3.392,1,0,-3540.73,0
3.408,0,6.81601,-3568.63,0
3.408,1,0,-3574.13,0
3.424,0,6.84801,-3602.19,0
3.424,1,0,-3607.69,0
3.44,0,6.88001,-3635.9,0
3.44,1,0,-3641.4,0
3.456,0,6.91201,-3669.77,0
3.456,1,0,-3675.27,0
3.472,0,6.94401,-3703.79,0
3.472,1,0,-3709.29,0
3.488,0,6.97601,-3737.98,0
3.488,1,0,-3743.48,0
3.504,0,7.00801,-3772.32,0
3.504,1,0,-3777.82,0
3.52,0,7.04001,-3806.81,0
3.52,1,0,-3812.31,0
3.536,0,7.07201,-3841.46,0
3.536,1,0,-3846.96,0
3.552,0,7.10401,-3876.27,0
3.552,1,0,-3881.77,0
3.568,0,7.13601,-3911.24,0
3.568,1,0,-3916.74,0
3.584,0,7.16801,-3946.36,0
3.584,1,0,-3951.86,0
3.6,0,7.20001,-3981.64,0
3.6,1,0,-3987.14,0
3.616,0,7.23201,-4017.08,0
3.616,1,0,-4022.58,0
3.632,0,7.26401,-4052.67,0
3.632,1,0,-4058.17,0
3.648,0,7.29601,-4088.42,0
3.648,1,0,-4093.92,0
3.664,0,7.32801,-4124.33,0
3.664,1,0,-4129.83,0
3.68,0,7.36001,-4160.4,0
3.68,1,0,-4165.9,0
3.696,0,7.39201,-4196.62,0
3.696,1,0,-4202.12,0
3.712,0,7.42401,-4232.99,0
3.712,1,0,-4238.49,0
